id,count
1,35
2,41
3,41
4,44
5,41
6,41
7,35
8,36
9,27
10,24
11,16
12,22
13,23
14,25
15,15
16,16
17,15
18,25
19,31
20,25
21,24
22,26
23,23
24,23
25,22
26,23
27,21
28,23
29,26
30,27
31,23
32,22
33,21
34,19
35,19
36,23
37,25
38,25
39,27
40,25
41,24
42,21
43,20
44,20
45,24
46,22
47,21
48,18
49,28
50,25
51,19
52,15
53,17
54,18
55,24
56,27
57,23
58,28
59,27
60,16
61,16
62,16
63,22
64,23
65,31
66,27
67,33
68,36
69,36
70,36
71,34
72,34
73,46
74,42
75,48
76,44
77,37
78,33
79,35
80,34
81,37
82,35
83,39
84,44
85,31
86,34
87,31
88,31
89,32
90,28
91,30
92,26
93,26
94,30
95,33
96,25
97,28
98,30
99,31
100,32
101,28
102,26
103,21
104,22
105,20
106,21
107,21
108,32
109,29
110,26
111,24
112,27
113,40
114,46
115,33
116,30
117,37
118,41
119,40
120,37
121,34
122,33
123,36
124,31
125,31
126,28
127,29
128,32
129,34
130,38
131,35
132,36
133,44
134,39
135,33
136,41
137,40
138,41
139,41
140,43
141,39
142,33
143,26
144,29
145,34
146,35
147,26
148,33
149,37
150,35
151,32
152,29
153,30
154,29
155,29
156,29
157,29
158,35
159,28
160,32
161,33
162,35
163,36
164,35
165,37
166,42
167,43
168,39
169,38
170,34
171,31
172,29
173,29
174,31
175,36
176,36
177,37
178,42
179,45
180,44
181,53
182,47
183,36
184,31
185,39
186,37
187,38
188,33
189,34
190,26
191,28
192,28
193,31
194,36
195,38
196,37
197,36
198,25
199,27
200,31
201,31
202,31
203,30
204,31
205,30
206,31
207,27
208,24
209,27
210,26
211,27
212,27
213,25
214,28
215,26
216,27
217,31
218,30
219,29
220,40
221,43
222,40
223,38
224,40
225,33
226,29
227,24
228,28
229,26
230,28
231,23
232,32
233,29
234,34
235,36
236,36
237,36
238,33
239,23
240,23
241,26
242,25
243,29
244,34
245,35
246,36
247,36
248,32
249,35
250,34
251,36
252,31
253,31
254,33
255,35
256,30
257,30
258,35
259,35
260,22
261,18
262,18
263,19
264,24
265,28
266,31
267,25
268,23
269,22
270,29
271,30
272,37
273,37
274,33
275,35
276,33
277,44
278,34
279,34
280,40
281,40
282,43
283,43
284,36
285,29
286,29
287,27
288,30
289,34
290,33
291,47
292,41
293,39
294,30
295,30
296,28
297,31
298,39
299,35
300,41
301,41
302,44
303,33
304,22
305,27
306,28
307,30
308,31
309,32
310,32
311,33
312,34
313,30
314,32
315,42
316,41
317,41
318,46
319,41
320,45
321,45
322,41
323,36
324,34
325,28
326,32
327,29
328,31
329,31
330,21
331,21
332,22
333,32
334,36
335,33
336,27
337,32
338,26
339,25
340,27
341,34
342,30
343,36
344,33
345,36
346,33
347,33
348,41
349,34
350,35
351,32
352,32
353,32
354,34
355,32
356,38
357,38
358,34
359,37
360,28
361,31
362,29
363,36
364,37
365,41
366,40
367,41
368,36
369,36
370,35
371,33
372,36
373,37
374,30
375,30
376,32
377,29
378,27
379,33
380,29
381,34
382,31
383,30
384,31
385,33
386,33
387,29
388,32
389,36
390,39
391,36
392,32
393,29
394,26
395,28
396,28
397,32
398,32
399,28
400,28
401,29
402,30
403,31
404,26
405,26
406,28
407,27
408,29
409,31
410,37
411,37
412,41
413,40
414,42
415,36
416,37
417,38
418,37
419,40
420,37
421,41
422,41
423,36
424,33
425,37
426,36
427,35
428,36
429,33
430,31
431,30
432,29
433,25
434,21
435,22
436,19
437,17
438,17
439,18
440,17
441,17
442,16
443,17
